Rank,Team,2023
1,New York Yankees,6.22
2,Chicago White Sox,6.23
2,Kansas City Royals,6.23
4,Colorado Rockies,6.41
5,Baltimore Orioles,6.44
6,Oakland Athletics,6.44
7,Tampa Bay Rays,6.46
8,Atlanta Braves,6.57
9,Milwaukee Brewers,6.68
10,New York Mets,6.68
10,Washington Nationals,6.68
12,Miami Marlins,6.74
13,Arizona Diamondbacks,6.76
14,Los Angeles Angels,6.80
15,Detroit Tigers,6.81
16,Cincinnati Reds,6.83
17,Pittsburgh Pirates,6.86
18,Philadelphia Phillies,6.89
19,Boston Red Sox,6.90
20,Cleveland Guardians,6.92
21,Chicago Cubs,6.96
22,San Francisco Giants,6.98
23,Houston Astros,7.01
24,Minnesota Twins,7.03
25,Seattle Mariners,7.06
25,San Diego Padres,7.06
27,Los Angeles Dodgers,7.16
28,Texas Rangers,7.16
29,Toronto Blue Jays,7.24
30,St. Louis Cardinals,7.30
