Team,BA,SLG
Arizona Diamondbacks,.250,.408
Atlanta Braves,.276,.501
Baltimore Orioles,.255,.421
Boston Red Sox,.258,.424
Chicago Cubs,.254,.421
Chicago White Sox,.238,.384
Cincinnati Reds,.249,.420
Cleveland Guardians,.250,.381
Colorado Rockies,.249,.405
Detroit Tigers,.236,.382
Houston Astros,.259,.437
Kansas City Royals,.244,.398
Los Angeles Angels,.245,.426
Los Angeles Dodgers,.257,.455
Miami Marlins,.259,.405
Milwaukee Brewers,.240,.385
Minnesota Twins,.243,.428
New York Mets,.238,.407
New York Yankees,.227,.397
Oakland Athletics,.223,.370
Philadelphia Phillies,.256,.438
Pittsburgh Pirates,.239,.392
San Diego Padres,.244,.413
San Francisco Giants,.235,.383
St. Louis Cardinals,.250,.416
Tampa Bay Rays,.260,.445
Texas Rangers,.263,.452
Toronto Blue Jays,.256,.417
Washington Nationals,.254,.396
